Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,145,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,97,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,97,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\ConvergenceException.cs,78,89,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\ConvergenceException.cs,78,89,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\NonSymmetricMatrixException.cs,77,96,"M:System.InvalidOperationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\NonSymmetricMatrixException.cs,77,96,"M:System.InvalidOperationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Genetic\Accord.Genetic (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Genetic\Accord.Genetic (NETStandard).csproj,,,,,,,,Current target framework: netstandard2.0;netstandard1.4 Recommended target framework: netstandard2.0;netstandard1.4;net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,,,System.Threading.Thread 4.3.0,,,,,"System.Threading.Thread, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,,,System.Threading.Tasks 4.3.0,,,,,"System.Threading.Tasks, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,,,,,,,,Current target framework: netstandard2.0;netstandard1.4 Recommended target framework: netstandard2.0;netstandard1.4;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\IO\NumPy\NpzFormat.Writer.cs,126,20,"M:System.IO.Compression.ZipArchive.CreateEntry(System.String,System.IO.Compression.CompressionLevel)",,,,,"var entry = zip.CreateEntry(p.Key, compression);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Optimization\Unconstrained\LineSearchFailedException.cs,122,9,T:System.Security.Permissions.SecurityPermissionAttribute,,,,,"SecurityPermission(SecurityAction.Demand, SerializationFormatter = true)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Optimization\Unconstrained\LineSearchFailedException.cs,128,12,"M:System.Exception.GetObjectData(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,"base.GetObjectData(info, context);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Optimization\Unconstrained\LineSearchFailedException.cs,106,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Math\Accord.Math (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math\Optimization\Unconstrained\LineSearchFailedException.cs,106,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Math.Core\Accord.Math.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Math.Core\Accord.Math.Core (NETStandard).csproj,,,,,,,,Current target framework: netstandard2.0;netstandard1.4 Recommended target framework: netstandard2.0;netstandard1.4;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Neuro\Accord.Neuro (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Neuro\Accord.Neuro (NETStandard).csproj,,,,,,,,Current target framework: netstandard2.0;netstandard1.4 Recommended target framework: netstandard2.0;netstandard1.4;net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Statistics\Accord.Statistics (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Statistics\Accord.Statistics (NETStandard).csproj,,,System.ComponentModel.Annotations 5.0.0,,,,,"System.ComponentModel.Annotations, 5.0.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Accord.NET-3.8.0\Accord.Statistics\Accord.Statistics (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Statistics\Accord.Statistics (NETStandard).csproj,,,,,,,,Current target framework: netstandard2.0;netstandard1.4 Recommended target framework: netstandard2.0;netstandard1.4;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Statistics\Accord.Statistics (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Statistics\Models\Fields\ConditionalRandomField.cs,269,12,T:System.Runtime.Serialization.Formatters.Binary.BinaryFormatter,,,,,BinaryFormatter b = new BinaryFormatter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Statistics\Accord.Statistics (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Statistics\Models\Fields\ConditionalRandomField.cs,242,12,T:System.Runtime.Serialization.Formatters.Binary.BinaryFormatter,,,,,BinaryFormatter b = new BinaryFormatter();
